SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
694KL62,Kerala State,SG,100,100,100,6.94,06-JUN-2025,,04-JUN-2062,,,,,IN2020250063
694MH31,Maharashtra State,SG,100,100,100,6.94,09-JUL-2021,,07-JUL-2031,,,,,IN2220210172
694MP35,Madhya Pradesh State,SG,100,100,100,6.94,27-JUL-2020,,26-FEB-2035,,,,,IN2120190136
694PGCIL35,Power Grid Corporation of India Limited,N0,100000,100000,1,6.94,16-APR-2025,,15-APR-2035,,,,,INE752E08783
694RJ33,Rajasthan State,SG,100,100,100,6.94,01-OCT-2021,,29-SEP-2033,,,,,IN2920210308
694RJ35,Rajasthan State,SG,100,100,100,6.94,01-AUG-2025,,30-JUL-2035,,,,,IN2920250122
694TN50,Tamilnadu State,SG,100,100,100,6.94,27-JUL-2020,,11-MAR-2050,,,,,IN3120190266
694TN55,Tamilnadu State,SG,100,100,100,6.94,06-JUN-2025,,04-JUN-2055,,,,,IN3120250094
694TS50,Telangana State,SG,100,100,100,6.94,05-OCT-2020,,30-SEP-2050,,,,,IN4520200176
694TS50A,Telangana State,SG,100,100,100,6.94,16-OCT-2020,,14-OCT-2050,,,,,IN4520200184
694TS60,Telangana State,SG,100,100,100,6.94,27-JUL-2020,,11-MAR-2060,,,,,IN4520190161
694UK31,Uttarakhand State,SG,100,100,100,6.94,02-JUL-2021,,30-JUN-2031,,,,,IN3620210010
694UP31,Uttar Pradesh State,SG,100,100,100,6.94,12-FEB-2021,,10-FEB-2031,,,,,IN3320200287
694UP31A,Uttar Pradesh State,SG,100,100,100,6.94,02-JUL-2021,,30-JUN-2031,,,,,IN3320210021
694WB36,West Bengal State,SG,100,100,100,6.94,17-DEC-2021,,15-DEC-2036,,,,,IN3420210202
695AS30,Assam State,SG,100,100,100,6.95,27-JUL-2020,,11-MAR-2030,,,,,IN1220190228
695BR30,Bihar State,SG,100,100,100,6.95,29-OCT-2021,,27-OCT-2030,,,,,IN1320210082
695GJ31,Gujarat State,SG,100,100,100,6.95,16-JUL-2021,,14-JUL-2031,,,,,IN1520210056
695GS2061,Government of India,GS,100,100,1,6.95,23-NOV-2021,,16-DEC-2061,,,,,IN0020210202
695HP29,Himachal Pradesh State,SG,100,100,100,6.95,27-JUL-2020,,11-MAR-2029,,,,,IN1720190173
695HP33,Himachal Pradesh State,SG,100,100,100,6.95,27-JUL-2020,,26-FEB-2033,,,,,IN1720190132
695HP34,Himachal Pradesh State,SG,100,100,100,6.95,27-JUL-2020,,26-FEB-2034,,,,,IN1720190140
695HR33,Haryana State,SG,100,100,100,6.95,04-JUN-2021,,02-JUN-2033,,,,,IN1620210048
695KA28,Karnataka State,SG,100,100,100,6.95,27-SEP-2024,,25-SEP-2028,,,,,IN1920240018
695KA31,Karnataka State,SG,100,100,100,6.95,22-OCT-2021,,20-OCT-2031,,,,,IN1920210052
695MH31,Maharashtra State,SG,100,100,100,6.95,16-JUL-2021,,14-JUL-2031,,,,,IN2220210198
695MH32,Maharashtra State,SG,100,100,100,6.95,02-JUL-2021,,30-JUN-2032,,,,,IN2220210164
695MN30,Manipur State,SG,100,100,100,6.95,27-JUL-2020,,11-MAR-2030,,,,,IN2320190076
695MP30,Madhya Pradesh State,SG,100,100,100,6.95,09-JAN-2026,,07-JAN-2030,,,,,IN2120250310
695OR31,Orissa State,SG,100,100,100,6.95,22-AUG-2025,,20-AUG-2031,,,,,IN2720250058
695PN31,Punjab State,SG,100,100,100,6.95,02-JUL-2021,,30-JUN-2031,,,,,IN2820210028
695PN40,Punjab State,SG,100,100,100,6.95,05-OCT-2020,,30-SEP-2040,,,,,IN2820200110
695RJ31,Rajasthan State,SG,100,100,100,6.95,12-FEB-2021,,10-FEB-2031,,,,,IN2920200655
695SK30,Sikkim State,SG,100,100,100,6.95,27-JUL-2020,,11-MAR-2030,,,,,IN3020190044
695TN31,Tamilnadu State,SG,100,100,100,6.95,19-FEB-2021,,17-FEB-2031,,,,,IN3120200362
695TN31A,Tamilnadu State,SG,100,100,100,6.95,09-JUL-2021,,07-JUL-2031,,,,,IN3120210106
695TN31B,Tamilnadu State,SG,100,100,100,6.95,27-AUG-2021,,25-AUG-2031,,,,,IN3120210189
695WB35,West Bengal State,SG,100,100,100,6.95,27-JUL-2020,,26-FEB-2035,,,,,IN3420190206
696AP33,Andhra Pradesh State,SG,100,100,100,6.96,08-AUG-2025,,06-AUG-2033,,,,,IN1020250263
696AP34,Andhra Pradesh State,SG,100,100,100,6.96,08-AUG-2025,,06-AUG-2034,,,,,IN1020250271
696AP35,Andhra Pradesh State,SG,100,100,100,6.96,21-MAY-2021,,19-MAY-2035,,,,,IN1020210077
696AP36,Andhra Pradesh State,SG,100,100,100,6.96,21-MAY-2021,,19-MAY-2036,,,,,IN1020210085
696GA31,Goa State,SG,100,100,100,6.96,02-JUL-2021,,30-JUN-2031,,,,,IN1420210040
696HR29,Haryana State,SG,100,100,100,6.96,04-FEB-2022,,02-FEB-2029,,,,,IN1620210147
696HR40,Haryana State,SG,100,100,100,6.96,27-JUL-2020,,26-FEB-2040,,,,,IN1620190174
696JH29,Jharkhand State,SG,100,100,100,6.96,28-MAR-2025,,26-SEP-2029,,,,,IN3720240024
696JK35,Jammu & Kashmir State,SG,100,100,100,6.96,05-OCT-2020,,30-SEP-2035,,,,,IN4920200081
696KA30,Karnataka State,SG,100,100,100,6.96,28-MAR-2025,,26-SEP-2030,,,,,IN1920240315
696KA31,Karnataka State,SG,100,100,100,6.96,18-OCT-2021,,13-OCT-2031,,,,,IN1920210037
696KA31A,Karnataka State,SG,100,100,100,6.96,24-DEC-2021,,22-DEC-2031,,,,,IN1920210177
696KL34,Kerala State,SG,100,100,100,6.96,04-JUN-2021,,02-JUN-2034,,,,,IN2020210034
696PY30,Puducherry - Union Territory,SG,100,100,100,6.96,31-DEC-2021,,29-DEC-2030,,,,,IN3820210059
696RJ31,Rajasthan State,SG,100,100,100,6.96,29-OCT-2021,,27-OCT-2031,,,,,IN2920210357
696RJ41,Rajasthan State,SG,100,100,100,6.96,12-FEB-2021,,10-FEB-2041,,,,,IN2920200663
696TN28,Tamilnadu State,SG,100,100,100,6.96,06-DEC-2024,,04-DEC-2028,,,,,IN3120240400
696TN31,Tamilnadu State,SG,100,100,100,6.96,08-NOV-2021,,02-NOV-2031,,,,,IN3120210221
696TN51,Tamilnadu State,SG,100,100,100,6.96,21-MAY-2021,,19-MAY-2051,,,,,IN3120210023
696TN56,Tamilnadu State,SG,100,100,100,6.96,21-MAY-2021,,19-MAY-2056,,,,,IN3120210031
696TS45,Telangana State,SG,100,100,100,6.96,10-DEC-2021,,08-DEC-2045,,,,,IN4520210191
696TS51,Telangana State,SG,100,100,100,6.96,07-MAY-2021,,05-MAY-2051,,,,,IN4520210027
696UP31,Uttar Pradesh State,SG,100,100,100,6.96,24-DEC-2021,,22-DEC-2031,,,,,IN3320210179
697AS31,Assam State,SG,100,100,100,6.97,23-AUG-2021,,18-AUG-2031,,,,,IN1220210034
697AS31A,Assam State,SG,100,100,100,6.97,24-DEC-2021,,22-DEC-2031,,,,,IN1220210174
697GA31,Goa State,SG,100,100,100,6.97,27-AUG-2021,,25-AUG-2031,,,,,IN1420210081
697GR2034,Government of India,GS,100,100,1,6.97,06-AUG-2024,,05-AUG-2034,,,,,IN0020240100
697KA28,Karnataka State,SG,100,100,100,6.97,27-JUL-2020,,26-FEB-2028,,,,,IN1920190189
697KA30,Karnataka State,SG,100,100,100,6.97,27-JUL-2020,,26-FEB-2030,,,,,IN1920190197
697KA31,Karnataka State,SG,100,100,100,6.97,05-OCT-2020,,30-SEP-2031,,,,,IN1920200285
697KL31,Kerala State,SG,100,100,100,6.97,27-AUG-2021,,25-AUG-2031,,,,,IN2020210109
697MH28,Maharashtra State,SG,100,100,100,6.97,27-JUL-2020,,18-FEB-2028,,,,,IN2220190127
697NL31,Nagaland State,SG,100,100,100,6.97,23-AUG-2021,,18-AUG-2031,,,,,IN2620210038
697PN31,Punjab State,SG,100,100,100,6.97,23-AUG-2021,,18-AUG-2031,,,,,IN2820210044
697PN40,Punjab State,SG,100,100,100,6.97,27-JUL-2020,,11-MAR-2040,,,,,IN2820190147
697RJ30,Rajasthan State,SG,100,100,100,6.97,27-JUL-2020,,26-FEB-2030,,,,,IN2920190401
697RJ31,Rajasthan State,SG,100,100,100,6.97,09-JUL-2021,,07-JUL-2031,,,,,IN2920210217
697RJ51,Rajasthan State,SG,100,100,100,6.97,12-FEB-2021,,10-FEB-2051,,,,,IN2920200671
697RJ51A,Rajasthan State,SG,100,100,100,6.97,19-FEB-2021,,17-FEB-2051,,,,,IN2920200713
697TN28,Tamilnadu State,SG,100,100,100,6.97,20-DEC-2024,,18-DEC-2028,,,,,IN3120240434
697TN31,Tamilnadu State,SG,100,100,100,6.97,23-JUL-2021,,20-JUL-2031,,,,,IN3120210122
697TN31A,Tamilnadu State,SG,100,100,100,6.97,30-JUL-2021,,28-JUL-2031,,,,,IN3120210148
697TN31B,Tamilnadu State,SG,100,100,100,6.97,23-AUG-2021,,18-AUG-2031,,,,,IN3120210171
697TN31C,Tamilnadu State,SG,100,100,100,6.97,18-OCT-2021,,13-OCT-2031,,,,,IN3120210213
697TN46,Tamilnadu State,SG,100,100,100,6.97,27-MAY-2021,,25-MAY-2046,,,,,IN3120210056
697UK35,Uttarakhand State,SG,100,100,100,6.97,01-AUG-2025,,30-JUL-2035,,,,,IN3620250032
697UP31,Uttar Pradesh State,SG,100,100,100,6.97,23-AUG-2021,,18-AUG-2031,,,,,IN3320210070
697UP31A,Uttar Pradesh State,SG,100,100,100,6.97,18-OCT-2021,,13-OCT-2031,,,,,IN3320210138
697WB36,West Bengal State,SG,100,100,100,6.97,12-FEB-2021,,10-FEB-2036,,,,,IN3420200245
698AP36,Andhra Pradesh State,SG,100,100,100,6.98,17-SEP-2021,,15-SEP-2036,,,,,IN1020210267
698AS31,Assam State,SG,100,100,100,6.98,12-FEB-2021,,10-FEB-2031,,,,,IN1220200266
698AS31A,Assam State,SG,100,100,100,6.98,27-AUG-2021,,25-AUG-2031,,,,,IN1220210042
698BR30,Bihar State,SG,100,100,100,6.98,08-NOV-2021,,02-NOV-2030,,,,,IN1320210090
698GA31,Goa State,SG,100,100,100,6.98,24-DEC-2021,,22-DEC-2031,,,,,IN1420210156
698GJ30,Gujarat State,SG,100,100,100,6.98,03-MAR-2025,,27-FEB-2030,,,,,IN1520240251
698GJ31,Gujarat State,SG,100,100,100,6.98,13-AUG-2021,,11-AUG-2031,,,,,IN1520210080
698GJ32,Gujarat State,SG,100,100,100,6.98,28-NOV-2025,,26-NOV-2032,,,,,IN1520250185
698GR2054,Government of India,GS,100,100,1,6.98,17-DEC-2024,,16-DEC-2054,,,,,IN0020240175
698HP32,Himachal Pradesh State,SG,100,100,100,6.98,03-SEP-2021,,01-SEP-2032,,,,,IN1720210021
698HR31,Haryana State,SG,100,100,100,6.98,06-AUG-2021,,04-AUG-2031,,,,,IN1620210089
698HR41,Haryana State,SG,100,100,100,6.98,12-FEB-2021,,10-FEB-2041,,,,,IN1620200148
698JK36,Jammu & Kashmir State,SG,100,100,100,6.98,01-OCT-2021,,29-SEP-2036,,,,,IN4920210072
698MH28,Maharashtra State,SG,100,100,100,6.98,27-JUL-2020,,26-FEB-2028,,,,,IN2220190135
698MH37,Maharashtra State,SG,100,100,100,6.98,27-JUN-2025,,25-JUN-2037,,,,,IN2220250095
698MP30,Madhya Pradesh State,SG,100,100,100,6.98,27-JUL-2020,,26-FEB-2030,,,,,IN2120190128
698OR29,Orissa State,SG,100,100,100,6.98,21-MAR-2025,,19-SEP-2029,,,,,IN2720240174
698OR37,Orissa State,SG,100,100,100,6.98,18-JUL-2025,,16-JUL-2037,,,,,IN2720250025
698PGCIL35,Power Grid Corporation of India Limited,N0,100000,100000,1,6.98,13-AUG-2025,,12-AUG-2035,,,,,INE752E08791
698PN33,Punjab State,SG,100,100,100,6.98,01-OCT-2021,,29-SEP-2033,,,,,IN2820210093
698PY33,Puducherry - Union Territory,SG,100,100,100,6.98,05-APR-2021,,31-MAR-2033,,,,,IN3820200092
698RJ31,Rajasthan State,SG,100,100,100,6.98,18-OCT-2021,,13-OCT-2031,,,,,IN2920210332
698RJ31A,Rajasthan State,SG,100,100,100,6.98,08-NOV-2021,,02-NOV-2031,,,,,IN2920210365
698SHFL28,SUNDARAM HOME FINANCE LIMITED,N0,100000,100000,1,6.98,25-NOV-2025,,21-NOV-2028,,,,,INE667F07JF4
698TN31,Tamilnadu State,SG,100,100,100,6.98,16-JUL-2021,,14-JUL-2031,,,,,IN3120210114
698TN31A,Tamilnadu State,SG,100,100,100,6.98,06-AUG-2021,,04-AUG-2031,,,,,IN3120210155
698TR30,Tripura State,SG,100,100,100,6.98,27-JUL-2020,,26-FEB-2030,,,,,IN3220190059
698TS28,Telangana State,SG,100,100,100,6.98,27-JUL-2020,,22-APR-2028,,,,,IN4520200044
698TS41,Telangana State,SG,100,100,100,6.98,21-MAY-2021,,19-MAY-2041,,,,,IN4520210035
698UP31,Uttar Pradesh State,SG,100,100,100,6.98,27-AUG-2021,,25-AUG-2031,,,,,IN3320210088
698WB35,West Bengal State,SG,100,100,100,6.98,27-JUL-2020,,11-MAR-2035,,,,,IN3420190222
698WB36,West Bengal State,SG,100,100,100,6.98,17-SEP-2021,,15-SEP-2036,,,,,IN3420210137
698WB37,West Bengal State,SG,100,100,100,6.98,22-NOV-2021,,17-NOV-2037,,,,,IN3420210186
699AR30,Arunachal Pradesh State,SG,100,100,100,6.99,27-JUL-2020,,26-FEB-2030,,,,,IN1120190039
699AS31,Assam State,SG,100,100,100,6.99,29-OCT-2021,,27-OCT-2031,,,,,IN1220210109
699GA30,Goa State,SG,100,100,100,6.99,27-JUL-2020,,26-FEB-2030,,,,,IN1420190176
699GA31,Goa State,SG,100,100,100,6.99,09-JUL-2021,,07-JUL-2031,,,,,IN1420210057
699GA31A,Goa State,SG,100,100,100,6.99,16-JUL-2021,,14-JUL-2031,,,,,IN1420210065
699GA31B,Goa State,SG,100,100,100,6.99,13-AUG-2021,,11-AUG-2031,,,,,IN1420210073
699GJ26,Gujarat State,SG,100,100,100,6.99,27-JUL-2020,,31-MAR-2026,,,,,IN1520190233
699GS2026,Government of India,GS,100,100,1,6.99,18-APR-2023,,17-APR-2026,,,,,IN0020230028
699GS2051,Government of India,GS,100,100,1,6.99,16-NOV-2021,,15-DEC-2051,,,,,IN0020210194
699HP31,Himachal Pradesh State,SG,100,100,100,6.99,31-OCT-2025,,29-OCT-2031,,,,,IN1720250092
699HR31,Haryana State,SG,100,100,100,6.99,22-OCT-2021,,20-OCT-2031,,,,,IN1620210113
699JH30,Jharkhand State,SG,100,100,100,6.99,27-JUL-2020,,11-MAR-2030,,,,,IN3720190047
699JK31,Jammu & Kashmir State,SG,100,100,100,6.99,05-FEB-2021,,03-FEB-2031,,,,,IN4920200149
699KA28,Karnataka State,SG,100,100,100,6.99,18-MAR-2021,,17-MAR-2028,,,,,IN1920200681
699KL36,Kerala State,SG,100,100,100,6.99,01-OCT-2021,,29-SEP-2036,,,,,IN2020210158
699MH29,Maharashtra State,SG,100,100,100,6.99,11-FEB-2022,,09-FEB-2029,,,,,IN2220210289
699MN30,Manipur State,SG,100,100,100,6.99,27-JUL-2020,,26-FEB-2030,,,,,IN2320190050
699MP41,Madhya Pradesh State,SG,100,100,100,6.99,22-NOV-2021,,17-NOV-2041,,,,,IN2120210041
699PY29,Puducherry - Union Territory,SG,100,100,100,6.99,25-FEB-2022,,23-AUG-2029,,,,,IN3820210083
699RJ41,Rajasthan State,SG,100,100,100,6.99,19-FEB-2021,,17-FEB-2041,,,,,IN2920200705
699SFL27,Sundaram Finance Limited,N0,100000,100000,1,6.99,02-JUN-2025,,28-MAY-2027,,,,,INE660A07RY4
699TN31,Tamilnadu State,SG,100,100,100,6.99,28-MAR-2025,,26-MAR-2031,,,,,IN3120240764
699TN32,Tamilnadu State,SG,100,100,100,6.99,27-OCT-2025,,23-OCT-2032,,,,,IN3120250334
699TN41,Tamilnadu State,SG,100,100,100,6.99,27-MAY-2021,,25-MAY-2041,,,,,IN3120210049
699TR36,Tripura State,SG,100,100,100,6.99,01-OCT-2021,,29-SEP-2036,,,,,IN3220210014
699TS28,Telangana State,SG,100,100,100,6.99,27-JUL-2020,,10-JUN-2028,,,,,IN4520200093
699TS43,Telangana State,SG,100,100,100,6.99,22-NOV-2021,,17-NOV-2043,,,,,IN4520210183
699UP31,Uttar Pradesh State,SG,100,100,100,6.99,16-JUL-2021,,14-JUL-2031,,,,,IN3320210039
699UP31A,Uttar Pradesh State,SG,100,100,100,6.99,30-JUL-2021,,28-JUL-2031,,,,,IN3320210054
699UP31B,Uttar Pradesh State,SG,100,100,100,6.99,29-OCT-2021,,27-OCT-2031,,,,,IN3320210146
699WB30,West Bengal State,SG,100,100,100,6.99,30-JUL-2021,,28-JUL-2030,,,,,IN3420210079
699WB31,West Bengal State,SG,100,100,100,6.99,27-AUG-2021,,25-AUG-2031,,,,,IN3420210103
699WB35,West Bengal State,SG,100,100,100,6.99,16-OCT-2020,,14-OCT-2035,,,,,IN3420200138
699WB36,West Bengal State,SG,100,100,100,6.99,05-APR-2021,,31-MAR-2036,,,,,IN3420200302
699WB36A,West Bengal State,SG,100,100,100,6.99,01-OCT-2021,,29-SEP-2036,,,,,IN3420210145
69AP32,Andhra Pradesh State,SG,100,100,100,6.9,05-FEB-2021,,03-FEB-2032,,,,,IN1020200557
69AP39,Andhra Pradesh State,SG,100,100,100,6.9,07-MAY-2021,,05-MAY-2039,,,,,IN1020210036
69AS30,Assam State,SG,100,100,100,6.9,27-JUL-2020,,18-FEB-2030,,,,,IN1220190194
69AS30A,Assam State,SG,100,100,100,6.9,05-OCT-2020,,30-SEP-2030,,,,,IN1220200068
69GA30,Goa State,SG,100,100,100,6.9,27-JUL-2020,,18-FEB-2030,,,,,IN1420190168
69GA30A,Goa State,SG,100,100,100,6.9,09-OCT-2020,,07-OCT-2030,,,,,IN1420200157
69GJ30,Gujarat State,SG,100,100,100,6.9,05-APR-2021,,31-MAR-2030,,,,,IN1520200354
69HP30,Himachal Pradesh State,SG,100,100,100,6.9,09-OCT-2020,,07-OCT-2030,,,,,IN1720200048
69JK33,Jammu & Kashmir State,SG,100,100,100,6.9,07-MAY-2021,,05-MAY-2033,,,,,IN4920210023
69KA27,Karnataka State,SG,100,100,100,6.9,07-OCT-2024,,03-OCT-2027,,,,,IN1920240026
69KA30,Karnataka State,SG,100,100,100,6.9,27-JUL-2020,,18-FEB-2030,,,,,IN1920190171
69KA31,Karnataka State,SG,100,100,100,6.9,22-NOV-2021,,17-NOV-2031,,,,,IN1920210086
69ML30,Meghalaya State,SG,100,100,100,6.9,05-OCT-2020,,30-SEP-2030,,,,,IN2420200049
69MN30,Manipur State,SG,100,100,100,6.9,27-JUL-2020,,18-FEB-2030,,,,,IN2320190043
69MZ33,Mizoram State,SG,100,100,100,6.9,17-MAY-2021,,12-MAY-2033,,,,,IN2520210013
69PY28,Puducherry - Union Territory,SG,100,100,100,6.9,28-JAN-2022,,25-JUL-2028,,,,,IN3820210075
69PY29,Puducherry - Union Territory,SG,100,100,100,6.9,05-OCT-2020,,30-SEP-2029,,,,,IN3820200027
69RJ29,Rajasthan State,SG,100,100,100,6.9,02-JAN-2026,,31-DEC-2029,,,,,IN2920250353
69RJ32,Rajasthan State,SG,100,100,100,6.9,25-JUN-2021,,23-JUN-2032,,,,,IN2920210167
69TN31,Tamilnadu State,SG,100,100,100,6.9,08-OCT-2021,,06-OCT-2031,,,,,IN3120210205
69UK30,Uttarakhand State,SG,100,100,100,6.9,27-JUL-2020,,18-FEB-2030,,,,,IN3620190105
69UK30A,Uttarakhand State,SG,100,100,100,6.9,05-OCT-2020,,30-SEP-2030,,,,,IN3620200045
69UP30,Uttar Pradesh State,SG,100,100,100,6.9,05-OCT-2020,,30-SEP-2030,,,,,IN3320200113
700AP37,Andhra Pradesh State,SG,100,100,100,7,04-JUL-2025,,02-JUL-2037,,,,,IN1020250222
700ML35,Meghalaya State,SG,100,100,100,7,08-AUG-2025,,06-AUG-2035,,,,,IN2420250036
700TN29,Tamilnadu State,SG,100,100,100,7,25-OCT-2024,,23-OCT-2029,,,,,IN3120240319
701AP39,Andhra Pradesh State,SG,100,100,100,7.01,11-JUN-2021,,09-JUN-2039,,,,,IN1020210127
701BR37,Bihar State,SG,100,100,100,7.01,25-JUL-2025,,23-JUL-2037,,,,,IN1320250039
701GJ31,Gujarat State,SG,100,100,100,7.01,10-JAN-2025,,08-JAN-2031,,,,,IN1520240111
701GJ31A,Gujarat State,SG,100,100,100,7.01,05-SEP-2025,,03-SEP-2031,,,,,IN1520250136
701MH32,Maharashtra State,SG,100,100,100,7.01,09-JUL-2021,,07-JUL-2032,,,,,IN2220210180
701MN31,Manipur State,SG,100,100,100,7.01,23-JUL-2021,,20-JUL-2031,,,,,IN2320210031
701NGEL35,NTPC Green Energy Limited,N0,100000,100000,1,7.01,13-NOV-2025,,12-NOV-2035,,,,,INE0ONG08016
701TN32,Tamilnadu State,SG,100,100,100,7.01,14-NOV-2025,,12-NOV-2032,,,,,IN3120250375
701TN35,Tamilnadu State,SG,100,100,100,7.01,28-MAR-2025,,26-MAR-2035,,,,,IN3120240772
701UP31,Uttar Pradesh State,SG,100,100,100,7.01,23-JUL-2021,,20-JUL-2031,,,,,IN3320210047
702AP30,Andhra Pradesh State,SG,100,100,100,7.02,27-JUL-2020,,26-FEB-2030,,,,,IN1020190493
702AP36,Andhra Pradesh State,SG,100,100,100,7.02,29-OCT-2021,,27-OCT-2036,,,,,IN1020210358
702AP37,Andhra Pradesh State,SG,100,100,100,7.02,29-OCT-2021,,27-OCT-2037,,,,,IN1020210366
702AP41,Andhra Pradesh State,SG,100,100,100,7.02,13-SEP-2021,,08-SEP-2041,,,,,IN1020210259
702AS30,Assam State,SG,100,100,100,7.02,27-JUL-2020,,26-FEB-2030,,,,,IN1220190202
702AS30A,Assam State,SG,100,100,100,7.02,28-MAR-2025,,26-SEP-2030,,,,,IN1220240221
702AS35,Assam State,SG,100,100,100,7.02,08-AUG-2025,,06-AUG-2035,,,,,IN1220250089
702BR30,Bihar State,SG,100,100,100,7.02,27-JUL-2020,,12-FEB-2030,,,,,IN1320190219
702BR30A,Bihar State,SG,100,100,100,7.02,12-SEP-2025,,10-SEP-2030,,,,,IN1320250096
702GJ31A,Gujarat State,SG,100,100,100,7.02,24-FEB-2025,,20-FEB-2031,,,,,IN1520240228
702GJ33,Gujarat State,SG,100,100,100,7.02,28-MAR-2025,,26-MAR-2033,,,,,IN1520240301
702GJ33A,Gujarat State,SG,100,100,100,7.02,22-AUG-2025,,20-AUG-2033,,,,,IN1520250110
702GS2027,Government of India,GS,100,100,1,7.02,28-MAY-2024,,27-MAY-2027,,,,,IN0020240043
702GS2031,Government of India,GS,100,100,1,7.02,19-JUN-2024,,18-JUN-2031,,,,,IN0020240076
702HP36,Himachal Pradesh State,SG,100,100,100,7.02,19-FEB-2021,,17-FEB-2036,,,,,IN1720200162
702HR29,Haryana State,SG,100,100,100,7.02,05-MAR-2021,,03-MAR-2029,,,,,IN1620200163
702KA31,Karnataka State,SG,100,100,100,7.02,31-DEC-2021,,29-DEC-2031,,,,,IN1920210193
702KA33,Karnataka State,SG,100,100,100,7.02,24-DEC-2021,,22-DEC-2033,,,,,IN1920210185
702KL28,Kerala State,SG,100,100,100,7.02,05-MAR-2021,,03-MAR-2028,,,,,IN2020200266
702MH29,Maharashtra State,SG,100,100,100,7.02,15-MAR-2021,,10-MAR-2029,,,,,IN2220200363
702ML41,Meghalaya State,SG,100,100,100,7.02,13-SEP-2021,,08-SEP-2041,,,,,IN2420210048
702MP30,Madhya Pradesh State,SG,100,100,100,7.02,02-JAN-2026,,31-DEC-2030,,,,,IN2120250286
702MP35,Madhya Pradesh State,SG,100,100,100,7.02,28-MAR-2025,,26-MAR-2035,,,,,IN2120240287
702OIT40,Oriental InfraTrust,N0,99000,99000,1,7.02,31-OCT-2025,,31-MAR-2040,,,,,INE07Z507029
702PGCIL35,Power Grid Corporation of India Limited,N0,100000,100000,1,7.02,15-DEC-2025,,12-DEC-2035,,,,,INE752E08809
702PN28,Punjab State,SG,100,100,100,7.02,15-MAR-2021,,10-MAR-2028,,,,,IN2820200219
702RECL40,REC Limited,N0,100000,100000,1,7.02,16-APR-2025,,30-APR-2040,,,,,INE020B08FS4
702TN29,Tamilnadu State,SG,100,100,100,7.02,08-NOV-2024,,06-NOV-2029,,,,,IN3120240343
702TN29A,Tamilnadu State,SG,100,100,100,7.02,21-MAR-2025,,19-SEP-2029,,,,,IN3120240699
702TN30,Tamilnadu State,SG,100,100,100,7.02,25-FEB-2022,,23-FEB-2030,,,,,IN3120210346
702TN31,Tamilnadu State,SG,100,100,100,7.02,31-DEC-2021,,29-DEC-2031,,,,,IN3120210288
702UP31,Uttar Pradesh State,SG,100,100,100,7.02,13-AUG-2021,,11-AUG-2031,,,,,IN3320210062
702UP32,Uttar Pradesh State,SG,100,100,100,7.02,14-NOV-2025,,12-NOV-2032,,,,,IN3320250084
702WB31,West Bengal State,SG,100,100,100,7.02,16-JUL-2021,,14-JUL-2031,,,,,IN3420210061
703AP40,Andhra Pradesh State,SG,100,100,100,7.03,09-OCT-2020,,07-OCT-2040,,,,,IN1020200409
703AS31,Assam State,SG,100,100,100,7.03,31-DEC-2021,,29-DEC-2031,,,,,IN1220210190
703CG30,Chattisgarh State,SG,100,100,100,7.03,27-SEP-2024,,25-SEP-2030,,,,,IN3520240026
703GJ35,Gujarat State,SG,100,100,100,7.03,31-JAN-2025,,29-JAN-2035,,,,,IN1520240178
703HP31,Himachal Pradesh State,SG,100,100,100,7.03,31-DEC-2021,,29-DEC-2031,,,,,IN1720210070
703HR35,Haryana State,SG,100,100,100,7.03,28-MAR-2025,,26-MAR-2035,,,,,IN1620240342
703HR39,Haryana State,SG,100,100,100,7.03,13-JUN-2025,,11-JUN-2039,,,,,IN1620250077
703HR40,Haryana State,SG,100,100,100,7.03,27-JUL-2020,,12-FEB-2040,,,,,IN1620190166
703KA32,Karnataka State,SG,100,100,100,7.03,18-OCT-2021,,13-OCT-2032,,,,,IN1920210045
703KA33,Karnataka State,SG,100,100,100,7.03,28-MAR-2025,,26-SEP-2033,,,,,IN1920240331
703KL30,Kerala State,SG,100,100,100,7.03,27-JUL-2020,,12-FEB-2030,,,,,IN2020190202
703MH38,Maharashtra State,SG,100,100,100,7.03,27-JUN-2025,,25-JUN-2038,,,,,IN2220250103
703MN31,Manipur State,SG,100,100,100,7.03,08-NOV-2021,,02-NOV-2031,,,,,IN2320210064
703MP31,Madhya Pradesh State,SG,100,100,100,7.03,19-FEB-2021,,17-FEB-2031,,,,,IN2120200240
703NBFID30,National Bank For Financing Infrastructure And Development,N0,100000,100000,1,7.03,11-APR-2025,,08-APR-2030,,,,,INE0KUG08076
703NL30,Nagaland State,SG,100,100,100,7.03,27-JUL-2020,,12-FEB-2030,,,,,IN2620190057
703OR31,Orissa State,SG,100,100,100,7.03,31-JAN-2025,,29-JAN-2031,,,,,IN2720240026
703PY28,Puducherry - Union Territory,SG,100,100,100,7.03,27-JUL-2020,,12-FEB-2028,,,,,IN3820190061
703RJ30,Rajasthan State,SG,100,100,100,7.03,27-JUL-2020,,12-FEB-2030,,,,,IN2920190393
703RJ31,Rajasthan State,SG,100,100,100,7.03,31-DEC-2021,,29-DEC-2031,,,,,IN2920210415
